OBJECTID,Rijksmonumentnummer,Gchw_nr,Gemeente,Plaats,Straat,Huisnummer,Toevoeging,Postcode,PHT,Opmerking,Type_object,Functie,Status,Waardering,Datum_pl,Bouwjaar_v,Bouwjaar_t,Datum_inv,Hoofd_object,Aanvullende_informatie,X_Coordinaat,Y_Coordinaat,URL_biotoop,Biotoop,Molens_hoofdstypen
"1682",0,3152,Arnhem,Arnhem,"Josephstraat, Sint","40", ,6823ES,6823ES40, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1920","1923", , , ,192946,446038,,Biotoop,
"1683",0,3162,Arnhem,Arnhem,Julianalaan,"15", ,6824KG,6824KG15, ,landhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1925","1935", , , ,192767,445312,,Biotoop,
"1684",0,2551,Arnhem,Arnhem,Druckerstraat,"37", ,6823HR,6823HR37, ,bejaardenwoning,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1930", , , , ,192960,446170,,Biotoop,
"1690",0,2723,Arnhem,Arnhem,Geitenkamp,"43", ,6823HD,6823HD43, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,9-12-1997,"1920","1925", , , ,192971,446062,,Biotoop,
"1691",0,2730,Arnhem,Arnhem,Geitenkamp,"55", ,6823HD,6823HD55, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,9-12-1997,"1920","1925", , , ,192941,446088,,Biotoop,
"1698",0,2864,Arnhem,Arnhem,Hertenlaan,"17", ,6823LC,6823LC17, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1923","1924", , , ,192958,446525,,Biotoop,
"1699",0,2867,Arnhem,Arnhem,Hertenlaan,"23", ,6823LC,6823LC23, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1923","1924", , , ,192975,446534,,Biotoop,
"1957",0,2716,Arnhem,Arnhem,Geitenkamp,"37", ,6823HC,6823HC37, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,9-12-1997,"1920","1925", , , ,192979,446056,,Biotoop,
"1963",0,3045,Arnhem,Arnhem,Jagersweg,"6", ,6823LL,6823LL6, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1923","1924", , , ,192916,446565,,Biotoop,
"1964",0,3048,Arnhem,Arnhem,Jagersweg,"8", ,6823LL,6823LL8, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1923","1924", , , ,192918,446563,,Biotoop,
"2184",0,4832,Arnhem,Arnhem,"Duyn van Maasdamlaan, Va","2", ,6824HW,6824HW2, ,villa,woonfunctie,gemeentelijk monument,middenkwaliteit,18-5-1993,"1910","1920", , , ,192773,444747,,Biotoop,
"2195",0,5041,Arnhem,Arnhem,"Wagenaarstraat, Doctor","33", ,6823EM,6823EM33, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,9-12-1997,"1920","1923", , , ,192959,445995,,Biotoop,
"2810",0,4349,Arnhem,Arnhem,Rosendaalseweg,"625", ,6824KL,6824KL625, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1920","1923", , , ,192974,445746,,Biotoop,
"3074",0,3535,Arnhem,Arnhem,"Biesterfeldstraat, Lippe","35", ,6824LL,6824LL35, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,14-9-1999,"1953","1954", , , ,192973,445492,,Biotoop,
"4887",516845,4387,Arnhem,Arnhem,Rosendaalseweg,"700", ,6824KV,6824KV700, ,kerk,religieuze functie,rijksmonument,hoge kwaliteit, ,"1924","1928", , , ,192970,445670,,Biotoop,
